Card   1: 30 48 49 69  1 86 94 68 12 85 | 86 57 89  8 81 85 82 68  1 22 90  2 74 12 30 45 69 92 62  4 94 48 47 64 49
Card   2: 57 32 92 73 76 62 11 19 61 90 | 19 82 53 87 57 80 69 76 90 56 11 61 30 92 73 99  4 32 33 64 34 62 27 78 65
Card   3:  6 56 40  1 47 26 25 87  4  2 | 12 26 32 25  8  4 41 54 69 99  2 45 70  6 59 23 47  7 49 17  1 56 92 87 40
Card   4: 26 49 44 82 25 43 47 74 97 13 | 76 62 13 82 55 26 93 84 83 19 47 22 49 44 25 43  7 18  9 45 97 15 90 85 74
Card   5: 88 58 96 80 56 16 55 13  3 40 | 20 57 23 71 76 43 36 72 52 18 60 28 80 84 64 75 93 46 19 69 25 31 58 45 47
Card   6: 89 88 34 62 60 41 15 42 57 58 | 58 49 82 42 70 78 72 57 77 47 62 89 30 60 96 98 54 66 25 14  6 34 15 41 88
Card   7: 97 73 29 26 91 16 66 64 70 23 |  3 12 61 11 70 59 71  1 26 44 14 64 63 93 20 17 89 16 43 96 52 92 46 97 85
Card   8:  9 33 46 87 34 97 71 30  5 43 | 21 64  8 43 77  9 20 46 10 19 53 33 71 56 39 87 34 50 72 91 30 89 13  5 97
Card   9: 72 41 12 58  8 56 11 82 22 66 | 27 97 48 14 77 37 33 91 85 39 75 42 58  2 52  9 70 45 72 62  5 21 23 60 99
Card  10:  3 46 56  2 58  4 92 80 86 52 | 15 56 91 57 61  8 87 34 51  3 23 41 96 45 48 49 43 25 26  9 58 50 52 38 12
Card  11: 76 94  4 55 97  8 22 99 80 70 | 64 75 23 49 42  1 66 54 85 29 28 94 22 93  4 69 72 62 41  2 86 83 97 34 82
Card  12: 65 91  7 24 80 20 46 29 58 57 | 51 59 52 63 28 44 62 35 46 49 24 14 58 91 65 78 84 20 43 32 23 15 29 13 22
Card  13: 98 94 55 43 83 72 19 46 45 22 | 55 67 59 91 46 37 24 52 98  4 72 22 44 94 88 43 27  7 75 13 45 82 15 65 19
Card  14: 92 51 81  6  5 91 73  9 80 94 | 56 72 71 32 92 98 15  2 10 91 62  1 51 74 69 89 33 96 39 97 21 86 65 52 83
Card  15: 84 40 87 91  3 61 20 73  2 37 | 77  3 37 81 20  9 51  2 87 73 53 66 26 36 69 99 83 96 88  5 91 18 40 57 80
Card  16: 97 63 52 67 86 87 91 25 69 43 | 68 67 75  3 85 10 88 99 52 43 95 92 80 87 11 13 96 58  1 17 74 20 36 93 77
Card  17: 28 90 77 78 52  7 94 13  6 88 | 11 69 49 56 59 14  7 24 53 21 67  2 17  8 47 66 48 30 79 43 86 64 46 28 23
Card  18: 50 22 25 69 54  4 37 14 49 75 | 82 84 78 88 87 15 80  1 11 91 89 93 25 98 74 42  6 59 23 58 13 46 49 32 95
Card  19: 96 56 86 38 29 43 69 66 26 46 | 80 13 90 30 41 86 44 95 71 23 40 75 33 14 56 59 89 18 92 79 15  4 84 68 82
Card  20: 95 26 31 69 63 25 56 87 74 48 | 88 16 42 22 30 14 71 62 35 87 99  3 96 54 41 83 40 29 79 20 50 24 53 10 66
